Sample.id,Continent,type,Ammonium oxidation to nitrate,Nitrogen removal,Nitrate reduction to ammonium,Nitrogen fixation,Mineralization
S400,Asia,Agricultural land,100.703925,478.5689835,1422.588726,399.3136231,1756.076858
S401,Asia,Forest,92.49939075,461.3207643,1387.680051,368.8013467,1865.515897
S402,Asia,Agricultural land,128.9075861,577.3442315,1388.154684,344.3920885,1820.356202
S403,Asia,Agricultural land,68.95415754,290.3166715,1199.290793,414.9421982,1827.061561
S404,Asia,Wetland,100.6310283,543.5819799,1515.80843,400.0469654,1840.618886
S405,Asia,Agricultural land,68.77670626,452.556227,1378.912059,336.500731,1849.934384
S406,Asia,Agricultural land,186.3659633,787.7349138,1610.445668,300.9643595,1848.601375
S408,Asia,Grassland,86.57347747,501.1036469,1675.368407,412.4050385,2014.20458
S41_BDMS190062376,Asia,Forest,5.060359842,80.27920238,829.6241474,208.9443643,1663.345732
S412,Asia,Grassland,68.17681662,403.2080765,1416.023395,337.2779505,1966.296823
S42_BDMS190062377,Asia,Agricultural land,2.867354157,36.78430023,682.7851515,197.986272,1312.669456
S42,Asia,Forest,195.4340174,589.5777058,1562.152138,358.6709109,1727.458944
S43_BDMS190062378,Asia,Forest,1.740897778,35.37520248,675.3705645,169.5499457,1230.664431
S44_BDMS190062379,Asia,Forest,4.759001665,58.90233327,757.9135749,198.0524717,1474.078337
S45_BDMS190062380,Asia,Forest,4.301515413,64.96183176,745.8900277,213.9515211,1508.119914
S46,Asia,Agricultural land,152.4931272,624.5357367,1525.948458,336.6417612,1898.400668
S47,Asia,Agricultural land,282.0471902,439.5193625,1418.288742,338.8218724,1974.270643
S48,Asia,Forest,44.56701447,283.9787996,1081.51874,371.8174397,1730.462636
S49,Asia,Agricultural land,75.16455067,452.8135411,1426.077752,363.602593,1890.496025
S5,Asia,Agricultural land,177.937611,648.2208508,1627.559185,332.7187709,1843.846169
S50,Asia,Agricultural land,119.4617057,574.6427536,1577.036444,367.9120593,1872.151377
S51,Asia,Wetland,133.1316546,523.5253646,1401.785416,341.0157444,1843.588106
S52,Asia,Agricultural land,76.93100311,398.7435831,1422.923437,365.1280724,1867.242902
S56,Asia,Agricultural land,157.9007405,638.3263054,1531.502178,387.9631834,1846.657066
S57,Asia,Agricultural land,170.961746,661.9532427,1623.935222,455.4619588,1761.56824
S58_BDME190601153,Asia,Agricultural land,55.94679441,310.0010033,1480.967017,358.000167,1909.289448
S59,Asia,Wetland,98.17674829,496.0823726,1552.69831,378.7231918,1923.743726
s6_FDMS190655338,Asia,Wetland,174.2740696,626.6271142,1292.227681,243.5403815,1823.913881
S6,Asia,Agricultural land,157.8323104,689.9421826,1715.69541,396.6297777,1992.825972
S60_BDME190601155,Asia,Forest,41.88726552,211.6940452,1140.192456,467.111943,1890.603599
S61_BDME190601156,Asia,Grassland,180.6824961,635.2199438,1486.256005,283.9401615,1970.773463
S61_BDMS190062396,Asia,Wetland,7.112899972,68.22507258,885.945329,224.1552445,1794.393505
S61,Asia,Forest,94.77148484,558.8530045,1376.106579,253.9676457,1944.454328
S62_BDMS190062397,Asia,Agricultural land,8.044776171,103.6548735,875.2655428,243.7537893,1720.623494
S62,Asia,Forest,192.8825768,773.3988472,1922.154563,427.0327011,1894.063371
S63_BDMS190062398,Asia,Wetland,8.439205654,100.7536943,859.3837563,226.6110265,1725.748555
S63,Asia,Forest,115.062094,581.409923,1506.752794,384.2566957,1800.004562
S64_BDME190601159,Asia,Wetland,122.1898417,463.3637412,1477.723434,425.2291488,1773.047725
S64_BDMS190062399,Asia,Forest,8.15324613,112.4937152,972.4962265,248.4763421,1856.065003
S65_BDMS190062400,Asia,Forest,6.866009628,87.15661226,970.8766503,231.8850082,1922.502801
S66_BDMS190062401,Asia,Agricultural land,9.784154712,105.6800398,978.4130849,243.5697931,1827.093371
S66,Asia,Forest,58.49961013,421.7643435,1363.57304,361.0704507,1854.935189
S69_BDME190601164,Asia,Forest,173.0601541,513.2434765,1518.062746,409.8241357,1651.921476
S69,Asia,Wetland,45.100048,333.0464262,1204.006817,376.3194428,1698.5863
s7_FDMS190655339,Asia,Grassland,184.4319639,645.9632415,1392.492951,319.9803716,1797.718189
S7,Asia,Agricultural land,83.32684793,457.639651,1586.460016,408.6244335,1966.516911
S70,Asia,Agricultural land,180.0517548,620.7557431,1639.502814,297.2906582,1752.56909
S72_BDME190601167,Asia,Agricultural land,208.434836,631.6096549,1357.866002,276.5436828,1875.407461
S72,Asia,Wetland,156.1627561,605.378382,1425.061842,372.1150111,1798.634628
S73_BDME190601168,Asia,Wetland,174.8014746,625.7189755,1717.555829,410.8652678,2005.163008
S75_BDME190601170,Asia,Agricultural land,190.9563591,584.4300127,1447.114337,357.7699675,1909.317196
S75,Asia,Wetland,258.7759476,752.9205297,1674.316277,311.004988,1634.351604
S76_BDME190601171,Asia,Forest,170.0562066,681.3275811,1758.024882,436.3190644,2017.650189
S76,Asia,Wetland,120.0000135,569.2577227,1350.527135,356.3536943,1758.258586
S77,Asia,Agricultural land,103.5701049,425.1875772,1268.055037,373.0023591,1813.735171
s8_FDMS190655340,Asia,Forest,208.1061088,616.9405518,1286.727868,312.1046762,1770.383935
S8,Asia,Agricultural land,104.3525683,443.1208078,1310.847474,375.2063535,1872.93727
S9,Asia,Agricultural land,96.33423189,496.0307502,1448.296187,392.5401514,1887.853356
S91,Asia,Agricultural land,207.1464361,601.3749207,1558.380548,293.0396105,1722.191591
S92,Asia,Agricultural land,105.1449316,511.8207561,1291.823879,305.8992496,1803.429735
SRR1157614,North America,Wetland,4.252430628,18.96541772,142.2429754,132.5590742,387.6300883
SRR1379730,North America,Wetland,210.3621323,717.4981873,1511.2828,62.72730644,2374.818329
SRR1783792,Asia,Agricultural land,0.264172337,2.159647583,4.568675861,0,5.438719076
SRR1924237,Australia,Agricultural land,37.53674784,278.2016205,1379.75742,248.7160647,1771.278732
SRR1926113,Australia,Agricultural land,39.5957585,270.9419551,1214.256192,214.8201037,1599.920958
SRR1926121,Australia,Agricultural land,31.6680646,226.1113027,1215.881779,251.3033607,1553.049299
SRR1926122,Australia,Agricultural land,35.73181729,278.2605923,1279.498195,239.4231763,1640.856256
SRR1926147,Australia,Agricultural land,15.43319328,92.02358246,443.2824857,69.62280438,577.7940444
SRR1926159,Australia,Agricultural land,87.96064591,406.1900253,1109.075806,253.8349101,1631.667929
SRR1926200,Australia,Agricultural land,55.49324137,345.1622008,976.1970509,294.0041155,1586.291099
SRR1926201,Australia,Agricultural land,61.87265509,360.4650055,1007.044466,289.9875526,1596.928414
SRR1955040,Asia,Agricultural land,170.2276935,969.079007,997.6650107,143.2370739,1133.340071
SRR2029815,Europe,Wetland,35.88628292,162.3376445,236.5061678,102.0522125,414.2209142
SRR2029816,Europe,Wetland,35.24534498,155.5888218,226.8968035,103.8559149,413.5404622
SRR2029817,Europe,Wetland,35.28463588,161.8286225,238.2397176,96.5811117,401.9815577
SRR2029827,Europe,Wetland,53.5813384,120.8398094,272.9003194,27.2569239,382.555524
SRR2029828,Europe,Wetland,55.51957312,121.5705044,274.6522417,25.48962499,378.8065772
SRR2029829,Europe,Wetland,55.91724623,121.2921721,263.5650417,28.98624453,376.9062526
SRR2070858,Asia,Agricultural land,115.0068292,373.8099153,456.8595923,75.87383306,481.9470669
SRR2070865,Asia,Agricultural land,113.8631074,351.3084832,455.6400206,75.35327636,483.8137327
SRR2071948,Asia,Agricultural land,238.4613561,768.786556,1826.836331,884.2208978,2247.451579
SRR2071949,Asia,Agricultural land,230.6402977,772.8116395,1790.524126,881.6847301,2238.534051
SRR2093878,Asia,Agricultural land,64.55455152,137.0988183,354.5413402,28.51100569,470.1102364
SRR2140746,North America,Grassland,0.023040038,0.117800715,1.419365049,1.725307147,3.261414652
SRR2901746,North America,Agricultural land,117.9844987,948.9011812,1437.825148,436.13564,2088.594093
SRR2902415,North America,Agricultural land,116.1888474,952.1673074,1431.604116,430.2329402,2095.076416
SRR2903329,North America,Agricultural land,103.3286336,962.5198574,1395.452322,471.2610151,2119.9875
SRR2962480,Asia,Forest,10.86633726,21.43283286,89.12868572,110.4902663,482.5539759
